state,district,crop,season,year,area_hectare,production_tonne,yield_tonne_per_hectare,rainfall_mm,mean_temperature_c,soil_ph,soil_n,soil_p,soil_k,soil_moisture,ndvi
Punjab,Ludhiana,Wheat,Rabi,2021,254000.0,1285000.0,5.06,128.4,19.8,7.4,240.0,22.5,210.0,26.0,0.74
Punjab,Ludhiana,Rice,Kharif,2021,258000.0,1135000.0,4.4,584.2,29.4,7.4,240.0,22.5,210.0,26.0,0.74
Punjab,Patiala,Wheat,Rabi,2021,232000.0,1178000.0,5.08,115.0,20.1,7.5,235.0,21.0,205.0,25.5,0.72
Punjab,Patiala,Rice,Kharif,2021,234000.0,1042000.0,4.45,612.0,29.2,7.5,235.0,21.0,205.0,25.5,0.72
Punjab,Bathinda,Cotton,Kharif,2021,96000.0,61400.0,0.64,345.6,31.0,7.9,185.0,16.0,240.0,18.0,0.58
Punjab,Bathinda,Wheat,Rabi,2021,253000.0,1240000.0,4.9,92.0,19.5,7.9,185.0,16.0,240.0,18.0,0.58
Punjab,Amritsar,Wheat,Rabi,2021,188000.0,922000.0,4.9,142.0,19.2,7.3,250.0,23.0,215.0,27.0,0.75
Punjab,Amritsar,Rice,Kharif,2021,182000.0,765000.0,4.2,640.0,28.8,7.3,250.0,23.0,215.0,27.0,0.75
Punjab,Jalandhar,Wheat,Rabi,2022,172000.0,855000.0,4.97,135.0,20.4,7.4,245.0,22.0,210.0,26.5,0.73
Haryana,Karnal,Wheat,Rabi,2021,171000.0,863000.0,5.05,110.0,20.2,7.6,230.0,20.0,200.0,25.0,0.71
Haryana,Karnal,Rice,Kharif,2021,168000.0,688000.0,4.1,690.0,29.1,7.6,230.0,20.0,200.0,25.0,0.71
Haryana,Hisar,Wheat,Rabi,2021,235000.0,1130000.0,4.81,88.0,20.6,8.0,175.0,15.0,220.0,17.5,0.55
Haryana,Hisar,Cotton,Kharif,2021,122000.0,74000.0,0.61,410.0,30.8,8.0,175.0,15.0,220.0,17.5,0.55
Haryana,Bhiwani,Mustard,Rabi,2021,98000.0,176000.0,1.8,74.0,21.0,8.1,160.0,14.0,210.0,16.0,0.52
Andhra Pradesh,Guntur,Cotton,Kharif,2021,178000.0,115000.0,0.65,785.0,29.8,7.8,210.0,24.0,280.0,24.0,0.68
Andhra Pradesh,Guntur,Rice,Kharif,2021,265000.0,980000.0,3.7,785.0,29.8,7.8,210.0,24.0,280.0,24.0,0.68
Andhra Pradesh,Guntur,Maize,Rabi,2021,62000.0,425000.0,6.85,165.0,26.4,7.8,210.0,24.0,280.0,24.0,0.68
Andhra Pradesh,Krishna,Rice,Kharif,2021,242000.0,945000.0,3.9,890.0,29.5,7.6,225.0,26.0,260.0,28.0,0.72
Andhra Pradesh,Krishna,Maize,Rabi,2021,48000.0,326000.0,6.79,182.0,26.2,7.6,225.0,26.0,260.0,28.0,0.72
Andhra Pradesh,Anantapur,Groundnut,Kharif,2021,680000.0,442000.0,0.65,490.0,28.6,6.8,140.0,12.0,180.0,14.0,0.46
Andhra Pradesh,Kurnool,Cotton,Kharif,2021,210000.0,128000.0,0.61,620.0,29.1,7.9,165.0,16.0,240.0,19.0,0.56
Andhra Pradesh,East Godavari,Rice,Kharif,2021,228000.0,912000.0,4.0,1140.0,29.0,6.5,230.0,25.0,250.0,30.0,0.76
Telangana,Warangal,Cotton,Kharif,2021,145000.0,92000.0,0.63,860.0,29.0,7.2,190.0,18.0,220.0,22.0,0.62
Telangana,Warangal,Rice,Kharif,2021,118000.0,460000.0,3.9,860.0,29.0,7.2,190.0,18.0,220.0,22.0,0.62
Telangana,Karimnagar,Rice,Rabi,2021,132000.0,541000.0,4.1,78.0,25.8,7.4,200.0,20.0,230.0,23.5,0.65
Telangana,Nalgonda,Cotton,Kharif,2021,182000.0,112000.0,0.62,710.0,29.6,7.6,175.0,16.0,210.0,19.0,0.58
Maharashtra,Pune,Sugarcane,Whole Year,2021,115000.0,11270000.0,98.0,920.0,25.4,7.8,195.0,19.0,310.0,25.0,0.67
Maharashtra,Nashik,Wheat,Rabi,2021,84000.0,226000.0,2.69,85.0,23.2,7.5,205.0,21.0,290.0,23.0,0.64
Maharashtra,Nagpur,Cotton,Kharif,2021,124000.0,71000.0,0.57,980.0,28.5,7.7,185.0,17.0,320.0,24.5,0.63
Maharashtra,Nagpur,Soybean,Kharif,2021,138000.0,207000.0,1.5,980.0,28.5,7.7,185.0,17.0,320.0,24.5,0.63
Maharashtra,Latur,Soybean,Kharif,2021,285000.0,399000.0,1.4,840.0,28.0,7.9,170.0,15.0,330.0,21.0,0.59
Maharashtra,Latur,Pulses,Kharif,2021,112000.0,95000.0,0.85,840.0,28.0,7.9,170.0,15.0,330.0,21.0,0.59
Maharashtra,Kolhapur,Sugarcane,Whole Year,2021,158000.0,15800000.0,100.0,1680.0,25.0,7.1,220.0,24.0,280.0,29.0,0.78
Karnataka,Belagavi,Sugarcane,Whole Year,2021,210000.0,19100000.0,90.95,1420.0,25.2,7.4,210.0,22.0,270.0,27.0,0.74
Karnataka,Dharwad,Cotton,Kharif,2021,82000.0,45000.0,0.55,670.0,26.5,7.6,180.0,17.0,260.0,22.0,0.61
Karnataka,Davanagere,Maize,Kharif,2021,165000.0,643000.0,3.9,640.0,27.0,7.2,195.0,20.0,240.0,23.0,0.65
Karnataka,Ballari,Rice,Kharif,2021,98000.0,362000.0,3.69,510.0,28.8,8.0,150.0,14.0,230.0,16.5,0.52
Uttar Pradesh,Meerut,Sugarcane,Whole Year,2021,92000.0,7360000.0,80.0,860.0,24.8,7.5,220.0,21.0,195.0,25.0,0.7
Uttar Pradesh,Meerut,Wheat,Rabi,2021,78000.0,327000.0,4.19,94.0,19.5,7.5,220.0,21.0,195.0,25.0,0.7
